Agreement Type,Department,Agreem,ent ID,,,Tracking Number,Transaction Date,Not to Exceed Amount,Encumbered,Expended,Retained,Outstanding,Agreement Start Date,Agreement End Date,Closed Date,Buyer Name,Buyer Phone,Agreement Description,Agreement Held?,Closed?
Purchase Order,40,202030,2867,,,85,8/5/19,0,1740,0,0,1740,8/5/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Contract,40,202030,2658,,,24,8/1/19,25000,17850,0,0,25000,8/1/19,6/30/20,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Purchase Order,40,201930,3316,,,28,8/1/19,0,150,150,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,5090,,,17,8/1/19,0,3000,3000,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11062,,,7,8/1/19,0,3920,3920,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11281,,,10,8/1/19,0,6075,6075,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,11381,,,6,8/1/19,0,7510,7510,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,19188,,,2,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,19421,,,27,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,21993,,,29,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,26841,,,27,8/1/19,0,6265,6265,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,27122,,,14,8/1/19,0,2600,2600,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,35756,,,23,8/1/19,0,7820,7820,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,47497,,,17,8/1/19,0,2900,2900,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,50622,,,18,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,59726,,,2,8/1/19,0,5200,5200,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,64106,,,21,8/1/19,0,2055,2055,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,65084,,,17,8/1/19,0,1765,1765,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,67077,,,29,8/1/19,0,0,0,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,70274,,,27,8/1/19,0,1500,1500,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,73669,,,1,8/1/19,0,0,0,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,74100,,,19,8/1/19,0,7800,7800,0,0,7/31/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78763,,,21,8/1/19,0,3025,3025,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,78773,,,21,8/1/19,0,2900,2900,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,81580,,,13,8/1/19,0,7800,7800,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90047,,,23,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90060,,,23,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,90751,,,19,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,91485,,,28,8/1/19,0,3690,3690,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92391,,,17,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,92515,,,2,8/1/19,0,7350,7350,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,93167,,,11,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,94966,,,11,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,201930,97501,,,21,8/1/19,0,0,0,0,0,8/1/19,6/30/20,8/1/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,202030,1165,,,28,7/24/19,0,5670,0,0,5670,7/24/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1843,,,31,7/24/19,0,3000,0,0,3000,7/24/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1253,,,8,7/18/19,0,9000,0,0,9000,7/18/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,202030,1290,,,11,7/18/19,0,2600,0,0,2600,7/18/19,6/30/20,,Default Buyer,212-857-1475,,No,No
Purchase Order,40,201930,41016,,,10,7/9/19,0,2950,2950,0,0,7/9/19,6/30/20,7/9/19,Default Buyer,212-857-1475,,No,Yes
Purchase Order,40,202030,535,,,11,7/8/19,0,3630,3630,0,0,7/8/19,6/30/20,8/5/19,Default Buyer,212-857-1475,,No,Yes
Contract,40,201930,10690,,,24,7/6/19,25000,17700,17550,0,7450,9/20/18,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,15160,WO190015160,,21,7/6/19,25000,13580,13580,0,11420,10/1/18,6/30/19,7/19/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,19202,,,11,7/6/19,25000,18000,17550,0,7450,10/17/18,6/30/19,,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,No
Contract,40,201930,20724,WO190020724,,3,7/6/19,25000,14200,14200,0,10800,10/18/18,6/30/19,7/9/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,24083,WO190024083,,9,7/6/19,25000,14220,14220,0,10780,10/26/18,6/30/19,7/17/19,Default Buyer,212-857-1475,3 BIDS-SERVICES-447398,No,Yes
Contract,40,201930,27053,,,26,7/6/19,25000,21330,21180,0,3820,11/2/18,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES-10032018,No,No
Contract,40,201930,28147,WO190028147,,1,7/6/19,25000,18000,18000,0,7000,11/8/18,6/30/19,7/12/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,29022,WO190029022,,9,7/6/19,25000,12180,12180,0,12820,11/14/18,6/30/19,7/18/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
Contract,40,201930,31273,,,22,7/6/19,25000,24135,21470,0,3530,11/26/18,6/30/19,,Default Buyer,212-857-1475,3 BIDS-SERVICES-24135.00,No,No
Contract,40,201930,36553,WO190036553,,14,7/6/19,25000,18000,18000,0,7000,12/14/18,6/30/19,7/9/19,Default Buyer,212-857-1475,NEGOTIATED SERVICES-SERVICES,No,Yes
